ReturnID,OrderID,Reason
RE00106,ORD18940,Customer Dissatisfaction
RE00107,ORD09872,Wrong Item
RE00108,ORD27135,Wrong Item
RE00109,ORD20037,Other
RE00110,ORD21078,Wrong Item
RE00111,ORD14763,Other
RE00112,ORD01229,Customer Dissatisfaction
RE00113,ORD08777,Wrong Item
RE00114,ORD21547,Wrong Item
RE00115,ORD22645,Wrong Item
RE00116,ORD02600,Other
RE00117,ORD43768,Damaged
RE00118,ORD13474,Customer Dissatisfaction
RE00119,ORD05337,Damaged
RE00120,ORD40676,Damaged
RE00121,ORD30942,Damaged
RE00122,ORD06060,Damaged
RE00123,ORD52070,Wrong Item
RE00124,ORD55128,Damaged
RE00125,ORD22034,Other
RE00126,ORD01501,Damaged
RE00127,ORD21147,Damaged
RE00128,ORD56165,Other
RE00129,ORD32398,Damaged
RE00130,ORD24498,Damaged
RE00131,ORD20226,Customer Dissatisfaction
RE00132,ORD41558,Other
RE00133,ORD52626,Wrong Item
RE00134,ORD23649,Wrong Item
RE00135,ORD26260,Wrong Item
RE00136,ORD08647,Other
RE00137,ORD38977,Wrong Item
RE00138,ORD31184,Damaged
RE00139,ORD19133,Other
RE00140,ORD09311,Damaged
RE00141,ORD04602,Wrong Item
RE00142,ORD45013,Customer Dissatisfaction
RE00143,ORD04364,Other
RE00144,ORD54830,Damaged
RE00145,ORD48489,Wrong Item
RE00146,ORD45192,Customer Dissatisfaction
RE00147,ORD11334,Damaged
RE00148,ORD18075,Wrong Item
RE00149,ORD26736,Wrong Item
RE00150,ORD41857,Wrong Item
RE00151,ORD34629,Other
RE00152,ORD39924,Other
RE00153,ORD43400,Wrong Item
RE00154,ORD29261,Other
RE00155,ORD29100,Customer Dissatisfaction
RE00156,ORD30762,Other
RE00157,ORD33740,Damaged
RE00158,ORD44523,Customer Dissatisfaction
RE00159,ORD51010,Other
RE00160,ORD31064,Wrong Item
RE00161,ORD38971,Customer Dissatisfaction
RE00162,ORD22465,Customer Dissatisfaction
RE00163,ORD30117,Customer Dissatisfaction
RE00164,ORD10859,Other
RE00165,ORD54106,Wrong Item
RE00166,ORD30637,Damaged
RE00167,ORD29109,Other
RE00168,ORD07824,Other
RE00169,ORD18075,Wrong Item
RE00170,ORD20223,Wrong Item
RE00171,ORD45236,Customer Dissatisfaction
RE00172,ORD19222,Damaged
RE00173,ORD18720,Damaged
RE00174,ORD35565,Other
RE00175,ORD29312,Damaged
RE00176,ORD36399,Wrong Item
RE00177,ORD30836,Damaged
RE00178,ORD41647,Other
RE00179,ORD03161,Customer Dissatisfaction
RE00180,ORD14323,Other
RE00181,ORD39097,Other
RE00182,ORD41115,Wrong Item
RE00183,ORD08398,Customer Dissatisfaction
RE00184,ORD43773,Wrong Item
RE00185,ORD20245,Customer Dissatisfaction
RE00186,ORD00078,Other
RE00187,ORD19562,Wrong Item
RE00188,ORD21616,Damaged
RE00189,ORD51921,Customer Dissatisfaction
RE00190,ORD15579,Damaged
RE00191,ORD32669,Damaged
RE00192,ORD21626,Customer Dissatisfaction
RE00193,ORD06557,Damaged
RE00194,ORD51465,Wrong Item
RE00195,ORD19408,Wrong Item
RE00196,ORD09077,Damaged
RE00197,ORD30964,Other
RE00198,ORD47565,Damaged
RE00199,ORD38371,Other
RE00200,ORD58523,Wrong Item
RE00201,ORD58507,Other
RE00202,ORD33591,Other
RE00203,ORD13982,Damaged
RE00204,ORD57229,Wrong Item
RE00205,ORD35693,Customer Dissatisfaction
RE00206,ORD20438,Wrong Item
RE00207,ORD30750,Other
RE00208,ORD32305,Customer Dissatisfaction
RE00209,ORD03415,Other
RE00210,ORD55195,Damaged
RE00211,ORD31679,Other
RE00212,ORD28067,Wrong Item
RE00213,ORD07716,Damaged
RE00214,ORD06711,Other
RE00215,ORD13266,Wrong Item
RE00216,ORD48906,Customer Dissatisfaction
RE00217,ORD57032,Other
RE00218,ORD58878,Damaged
RE00219,ORD40639,Wrong Item
RE00220,ORD12137,Damaged
RE00221,ORD36880,Damaged
RE00222,ORD02470,Customer Dissatisfaction
RE00223,ORD57601,Wrong Item
RE00224,ORD43827,Other
RE00225,ORD52864,Other
RE00226,ORD53041,Damaged
RE00227,ORD16500,Customer Dissatisfaction
RE00228,ORD34400,Wrong Item
RE00229,ORD03613,Damaged
RE00230,ORD45134,Other
RE00231,ORD44375,Customer Dissatisfaction
RE00232,ORD22466,Other
RE00233,ORD39068,Damaged
RE00234,ORD24685,Other
RE00235,ORD16943,Wrong Item
RE00236,ORD59696,Wrong Item
RE00237,ORD39332,Wrong Item
RE00238,ORD07118,Damaged
RE00239,ORD07258,Wrong Item
RE00240,ORD37785,Customer Dissatisfaction
RE00241,ORD14261,Wrong Item
RE00242,ORD34242,Other
RE00243,ORD27029,Damaged
RE00244,ORD59521,Damaged
RE00245,ORD50200,Other
RE00246,ORD16582,Other
RE00247,ORD56213,Damaged
RE00248,ORD35923,Other
RE00249,ORD02087,Damaged
RE00250,ORD39162,Other
RE00251,ORD59143,Damaged
RE00252,ORD57223,Damaged
RE00253,ORD41961,Other
RE00254,ORD24284,Wrong Item
RE00255,ORD44707,Other
RE00256,ORD43747,Customer Dissatisfaction
RE00257,ORD36694,Damaged
RE00258,ORD20640,Wrong Item
RE00259,ORD02166,Customer Dissatisfaction
RE00260,ORD46278,Wrong Item
RE00261,ORD47723,Other
RE00262,ORD40342,Damaged
RE00263,ORD27895,Wrong Item
RE00264,ORD35443,Other
RE00265,ORD37758,Damaged
RE00266,ORD07666,Customer Dissatisfaction
RE00267,ORD17342,Wrong Item
RE00268,ORD05926,Customer Dissatisfaction
RE00269,ORD42335,Other
RE00270,ORD07203,Wrong Item
RE00271,ORD22039,Other
RE00272,ORD12378,Wrong Item
RE00273,ORD42648,Other
RE00274,ORD58858,Wrong Item
RE00275,ORD05021,Other
RE00276,ORD26768,Other
RE00277,ORD44261,Customer Dissatisfaction
RE00278,ORD08746,Damaged
RE00279,ORD00331,Damaged
RE00280,ORD06136,Customer Dissatisfaction
RE00281,ORD45031,Other
RE00282,ORD45707,Damaged
RE00283,ORD19208,Other
RE00284,ORD14014,Customer Dissatisfaction
RE00285,ORD25167,Wrong Item
RE00286,ORD11774,Wrong Item
RE00287,ORD35633,Other
RE00288,ORD56452,Wrong Item
RE00289,ORD49930,Customer Dissatisfaction
RE00290,ORD04406,Wrong Item
RE00291,ORD50737,Wrong Item
RE00292,ORD53710,Customer Dissatisfaction
RE00293,ORD21172,Other
RE00294,ORD06334,Wrong Item
RE00295,ORD17951,Wrong Item
RE00296,ORD54986,Other
RE00297,ORD39052,Customer Dissatisfaction
RE00298,ORD05479,Other
RE00299,ORD32859,Wrong Item
RE00300,ORD02213,Other
RE00301,ORD01738,Wrong Item
RE00302,ORD52993,Customer Dissatisfaction
RE00303,ORD51731,Customer Dissatisfaction
RE00304,ORD04939,Other
RE00305,ORD02875,Customer Dissatisfaction
RE00306,ORD03557,Wrong Item
RE00307,ORD48752,Damaged
RE00308,ORD52286,Wrong Item
RE00309,ORD43111,Other
RE00310,ORD59352,Other
RE00311,ORD01137,Customer Dissatisfaction
RE00312,ORD32245,Damaged
RE00313,ORD57403,Damaged
RE00314,ORD48104,Other
RE00315,ORD12507,Customer Dissatisfaction
RE00316,ORD17361,Other
RE00317,ORD26428,Wrong Item
RE00318,ORD12735,Customer Dissatisfaction
RE00319,ORD27349,Wrong Item
RE00320,ORD46254,Wrong Item
RE00321,ORD02525,Other
RE00322,ORD23483,Damaged
RE00323,ORD36436,Wrong Item
RE00324,ORD12480,Other
RE00325,ORD01792,Wrong Item
RE00326,ORD20721,Damaged
RE00327,ORD08507,Wrong Item
RE00328,ORD59868,Other
RE00329,ORD20739,Customer Dissatisfaction
RE00330,ORD09053,Wrong Item
RE00331,ORD17874,Wrong Item
RE00332,ORD15939,Customer Dissatisfaction
RE00333,ORD02442,Other
RE00334,ORD43060,Wrong Item
RE00335,ORD54050,Wrong Item
RE00336,ORD24930,Customer Dissatisfaction
RE00337,ORD00827,Damaged
RE00338,ORD53021,Wrong Item
RE00339,ORD30587,Damaged
RE00340,ORD36098,Other
RE00341,ORD13213,Other
RE00342,ORD32853,Customer Dissatisfaction
RE00343,ORD54648,Other
RE00344,ORD36346,Customer Dissatisfaction
RE00345,ORD42526,Wrong Item
RE00346,ORD29340,Customer Dissatisfaction
RE00347,ORD37445,Wrong Item
RE00348,ORD29243,Damaged
RE00349,ORD27511,Customer Dissatisfaction
RE00350,ORD44331,Customer Dissatisfaction
RE00351,ORD52253,Other
RE00352,ORD21762,Wrong Item
RE00353,ORD27833,Customer Dissatisfaction
RE00354,ORD56314,Wrong Item
RE00355,ORD47793,Other
RE00356,ORD24499,Damaged
RE00357,ORD08576,Other
RE00358,ORD52059,Wrong Item
RE00359,ORD00515,Damaged
RE00360,ORD42044,Damaged
RE00361,ORD26691,Customer Dissatisfaction
RE00362,ORD23006,Damaged
RE00363,ORD01385,Customer Dissatisfaction
RE00364,ORD56783,Customer Dissatisfaction
RE00365,ORD45271,Customer Dissatisfaction
RE00366,ORD31854,Wrong Item
RE00367,ORD01221,Wrong Item
RE00368,ORD44797,Wrong Item
RE00369,ORD34793,Wrong Item
RE00370,ORD35233,Damaged
RE00371,ORD36646,Other
RE00372,ORD46049,Other
RE00373,ORD34661,Damaged
RE00374,ORD32859,Damaged
RE00375,ORD41176,Customer Dissatisfaction
RE00376,ORD39785,Other
RE00377,ORD52950,Wrong Item
RE00378,ORD33290,Customer Dissatisfaction
RE00379,ORD33639,Damaged
RE00380,ORD00756,Customer Dissatisfaction
RE00381,ORD23284,Damaged
RE00382,ORD44310,Customer Dissatisfaction
RE00383,ORD17638,Damaged
RE00384,ORD06677,Damaged
RE00385,ORD51553,Damaged
RE00386,ORD14124,Damaged
RE00387,ORD17423,Customer Dissatisfaction
RE00388,ORD10923,Customer Dissatisfaction
RE00389,ORD51159,Wrong Item
RE00390,ORD27746,Customer Dissatisfaction
RE00391,ORD40901,Other
RE00392,ORD00865,Other
RE00393,ORD42234,Other
RE00394,ORD40397,Customer Dissatisfaction
RE00395,ORD34191,Customer Dissatisfaction
RE00396,ORD12426,Other
RE00397,ORD10456,Damaged
RE00398,ORD12437,Wrong Item
RE00399,ORD58900,Wrong Item
RE00400,ORD47641,Wrong Item
RE00401,ORD28258,Damaged
RE00402,ORD42515,Customer Dissatisfaction
RE00403,ORD07619,Wrong Item
RE00404,ORD44616,Damaged
RE00405,ORD03887,Other
RE00406,ORD27237,Damaged
RE00407,ORD44087,Damaged
RE00408,ORD42154,Customer Dissatisfaction
RE00409,ORD30362,Damaged
RE00410,ORD09567,Damaged
RE00411,ORD49661,Wrong Item
RE00412,ORD36421,Damaged
RE00413,ORD40921,Other
RE00414,ORD48890,Other
RE00415,ORD05786,Wrong Item
RE00416,ORD48389,Customer Dissatisfaction
RE00417,ORD44980,Wrong Item
RE00418,ORD58159,Customer Dissatisfaction
RE00419,ORD16157,Wrong Item
RE00420,ORD38776,Customer Dissatisfaction
RE00421,ORD56317,Wrong Item
RE00422,ORD25437,Damaged
RE00423,ORD56926,Customer Dissatisfaction
RE00424,ORD56365,Other
RE00425,ORD32751,Damaged
RE00426,ORD35684,Customer Dissatisfaction
RE00427,ORD01628,Customer Dissatisfaction
RE00428,ORD49089,Customer Dissatisfaction
RE00429,ORD10735,Damaged
RE00430,ORD48576,Wrong Item
RE00431,ORD23191,Customer Dissatisfaction
RE00432,ORD14087,Damaged
RE00433,ORD39464,Damaged
RE00434,ORD18632,Customer Dissatisfaction
RE00435,ORD35436,Wrong Item
RE00436,ORD04872,Customer Dissatisfaction
RE00437,ORD33532,Customer Dissatisfaction
RE00438,ORD41849,Wrong Item
RE00439,ORD44365,Other
RE00440,ORD53817,Customer Dissatisfaction
RE00441,ORD57671,Wrong Item
RE00442,ORD45282,Other
RE00443,ORD27805,Wrong Item
RE00444,ORD42929,Customer Dissatisfaction
RE00445,ORD44728,Damaged
RE00446,ORD17858,Damaged
RE00447,ORD10591,Wrong Item
RE00448,ORD27991,Customer Dissatisfaction
RE00449,ORD59784,Wrong Item
RE00450,ORD08720,Wrong Item
RE00451,ORD04132,Customer Dissatisfaction
RE00452,ORD41437,Other
RE00453,ORD14801,Damaged
RE00454,ORD42005,Damaged
RE00455,ORD28286,Damaged
RE00456,ORD00954,Wrong Item
RE00457,ORD32706,Customer Dissatisfaction
RE00458,ORD19491,Other
RE00459,ORD05082,Customer Dissatisfaction
RE00460,ORD55318,Damaged
RE00461,ORD43817,Damaged
RE00462,ORD24643,Other
RE00463,ORD01282,Wrong Item
RE00464,ORD17090,Wrong Item
RE00465,ORD43259,Other
RE00466,ORD01640,Other
RE00467,ORD44150,Other
RE00468,ORD55430,Wrong Item
RE00469,ORD14844,Other
RE00470,ORD26579,Wrong Item
RE00471,ORD46981,Wrong Item
RE00472,ORD20684,Other
RE00473,ORD17490,Damaged
RE00474,ORD21213,Damaged
RE00475,ORD36774,Damaged
RE00476,ORD51851,Customer Dissatisfaction
RE00477,ORD22994,Damaged
RE00478,ORD05188,Wrong Item
RE00479,ORD33575,Other
RE00480,ORD12933,Customer Dissatisfaction
RE00481,ORD30320,Other
RE00482,ORD51804,Damaged
RE00483,ORD02094,Other
RE00484,ORD23869,Damaged
RE00485,ORD21350,Other
RE00486,ORD59875,Damaged
RE00487,ORD28772,Damaged
RE00488,ORD03848,Damaged
RE00489,ORD21498,Wrong Item
RE00490,ORD11212,Customer Dissatisfaction
RE00491,ORD12346,Wrong Item
RE00492,ORD04621,Damaged
RE00493,ORD13723,Wrong Item
RE00494,ORD02259,Other
RE00495,ORD50277,Customer Dissatisfaction
RE00496,ORD52592,Other
RE00497,ORD12362,Damaged
RE00498,ORD55340,Damaged
RE00499,ORD48124,Customer Dissatisfaction
RE00500,ORD15102,Wrong Item
RE00501,ORD12128,Customer Dissatisfaction
RE00502,ORD21797,Damaged
RE00503,ORD21812,Damaged
RE00504,ORD41914,Wrong Item
RE00505,ORD22420,Other
RE00506,ORD54137,Customer Dissatisfaction
RE00507,ORD08831,Damaged
RE00508,ORD56274,Wrong Item
RE00509,ORD00724,Other
RE00510,ORD41463,Wrong Item
RE00511,ORD48612,Other
RE00512,ORD59034,Wrong Item
RE00513,ORD46186,Wrong Item
RE00514,ORD50168,Wrong Item
RE00515,ORD52871,Other
RE00516,ORD42305,Wrong Item
RE00517,ORD52476,Customer Dissatisfaction
RE00518,ORD17920,Wrong Item
RE00519,ORD52960,Damaged
RE00520,ORD55058,Other
RE00521,ORD37008,Wrong Item
RE00522,ORD50756,Damaged
RE00523,ORD09255,Other
RE00524,ORD56131,Wrong Item
RE00525,ORD08297,Other
RE00526,ORD41796,Customer Dissatisfaction
RE00527,ORD14209,Wrong Item
RE00528,ORD26667,Damaged
RE00529,ORD46395,Customer Dissatisfaction
RE00530,ORD47017,Wrong Item
RE00531,ORD30783,Wrong Item
RE00532,ORD36563,Damaged
RE00533,ORD53021,Other
RE00534,ORD17136,Other
RE00535,ORD42276,Damaged
RE00536,ORD44077,Other
RE00537,ORD40656,Wrong Item
RE00538,ORD09696,Customer Dissatisfaction
RE00539,ORD25704,Damaged
RE00540,ORD55054,Damaged
RE00541,ORD04291,Damaged
RE00542,ORD19780,Damaged
RE00543,ORD17877,Wrong Item
RE00544,ORD39895,Other
RE00545,ORD45525,Wrong Item
RE00546,ORD20613,Wrong Item
RE00547,ORD40983,Customer Dissatisfaction
RE00548,ORD37870,Customer Dissatisfaction
RE00549,ORD37774,Customer Dissatisfaction
RE00550,ORD27339,Damaged
RE00551,ORD35747,Other
RE00552,ORD01831,Other
RE00553,ORD06218,Damaged
RE00554,ORD29665,Customer Dissatisfaction
RE00555,ORD54624,Other
RE00556,ORD56364,Wrong Item
RE00557,ORD50046,Wrong Item
RE00558,ORD03715,Wrong Item
RE00559,ORD24912,Wrong Item
RE00560,ORD08220,Damaged
RE00561,ORD39518,Customer Dissatisfaction
RE00562,ORD18537,Wrong Item
RE00563,ORD28441,Customer Dissatisfaction
RE00564,ORD38130,Customer Dissatisfaction
RE00565,ORD33789,Wrong Item
RE00566,ORD17215,Customer Dissatisfaction
RE00567,ORD50230,Damaged
RE00568,ORD45280,Other
RE00569,ORD06891,Wrong Item
RE00570,ORD40527,Customer Dissatisfaction
RE00571,ORD48839,Damaged
RE00572,ORD42457,Damaged
RE00573,ORD55260,Customer Dissatisfaction
RE00574,ORD59711,Customer Dissatisfaction
RE00575,ORD25639,Damaged
RE00576,ORD54465,Customer Dissatisfaction
RE00577,ORD30633,Other
RE00578,ORD25055,Customer Dissatisfaction
RE00579,ORD48724,Wrong Item
RE00580,ORD21105,Damaged
RE00581,ORD27538,Wrong Item
RE00582,ORD50806,Customer Dissatisfaction
RE00583,ORD01671,Damaged
RE00584,ORD06493,Other
RE00585,ORD22575,Other
RE00586,ORD31342,Other
RE00587,ORD33545,Wrong Item
RE00588,ORD24807,Wrong Item
RE00589,ORD12564,Wrong Item
RE00590,ORD21514,Customer Dissatisfaction
RE00591,ORD08403,Wrong Item
RE00592,ORD06515,Wrong Item
RE00593,ORD51610,Damaged
RE00594,ORD06098,Other
RE00595,ORD26540,Wrong Item
RE00596,ORD04867,Other
RE00597,ORD50395,Other
RE00598,ORD04664,Other
RE00599,ORD48193,Other
RE00600,ORD38508,Other
RE00601,ORD26957,Other
RE00602,ORD18575,Customer Dissatisfaction
RE00603,ORD25720,Customer Dissatisfaction
RE00604,ORD14631,Customer Dissatisfaction
RE00605,ORD32989,Other
RE00606,ORD04270,Damaged
RE00607,ORD03289,Damaged
RE00608,ORD31676,Customer Dissatisfaction
RE00609,ORD43352,Customer Dissatisfaction
RE00610,ORD41302,Customer Dissatisfaction
RE00611,ORD13780,Customer Dissatisfaction
RE00612,ORD10092,Other
RE00613,ORD40397,Wrong Item
RE00614,ORD32013,Customer Dissatisfaction
RE00615,ORD05111,Other
RE00616,ORD00893,Customer Dissatisfaction
RE00617,ORD41146,Damaged
RE00618,ORD56116,Wrong Item
RE00619,ORD12554,Damaged
RE00620,ORD57456,Damaged
RE00621,ORD29893,Customer Dissatisfaction
RE00622,ORD11009,Wrong Item
RE00623,ORD32749,Wrong Item
RE00624,ORD06994,Customer Dissatisfaction
RE00625,ORD56599,Wrong Item
RE00626,ORD25383,Wrong Item
RE00627,ORD34403,Damaged
RE00628,ORD57156,Other
RE00629,ORD44626,Damaged
RE00630,ORD30990,Wrong Item
RE00631,ORD42084,Other
RE00632,ORD40932,Customer Dissatisfaction
RE00633,ORD29889,Customer Dissatisfaction
RE00634,ORD01562,Other
RE00635,ORD45679,Damaged
RE00636,ORD46663,Other
RE00637,ORD23015,Other
RE00638,ORD58515,Other
RE00639,ORD58111,Damaged
RE00640,ORD33393,Other
RE00641,ORD14451,Damaged
RE00642,ORD21088,Damaged
RE00643,ORD54256,Damaged
RE00644,ORD29472,Damaged
RE00645,ORD25263,Damaged
RE00646,ORD06498,Other
RE00647,ORD53782,Damaged
RE00648,ORD36860,Wrong Item
RE00649,ORD00694,Customer Dissatisfaction
RE00650,ORD15934,Damaged
RE00651,ORD22297,Damaged
RE00652,ORD14046,Other
RE00653,ORD48037,Damaged
RE00654,ORD20522,Other
RE00655,ORD23527,Customer Dissatisfaction
RE00656,ORD03304,Customer Dissatisfaction
RE00657,ORD10128,Other
RE00658,ORD39077,Damaged
RE00659,ORD53014,Customer Dissatisfaction
RE00660,ORD20168,Wrong Item
RE00661,ORD12151,Wrong Item
RE00662,ORD45209,Wrong Item
RE00663,ORD40610,Other
RE00664,ORD55991,Other
RE00665,ORD35381,Wrong Item
RE00666,ORD16656,Damaged
RE00667,ORD08395,Wrong Item
RE00668,ORD13155,Wrong Item
RE00669,ORD09162,Other
RE00670,ORD40463,Other
RE00671,ORD21397,Damaged
RE00672,ORD54419,Customer Dissatisfaction
RE00673,ORD30429,Other
RE00674,ORD50072,Damaged
RE00675,ORD55664,Damaged
RE00676,ORD03191,Damaged
RE00677,ORD21601,Customer Dissatisfaction
RE00678,ORD53121,Damaged
RE00679,ORD05065,Other
RE00680,ORD47280,Wrong Item
RE00681,ORD25686,Other
RE00682,ORD39660,Customer Dissatisfaction
RE00683,ORD10190,Customer Dissatisfaction
RE00684,ORD47549,Damaged
RE00685,ORD32830,Other
RE00686,ORD09310,Other
RE00687,ORD26212,Other
RE00688,ORD10689,Customer Dissatisfaction
RE00689,ORD20018,Other
RE00690,ORD17736,Damaged
RE00691,ORD05021,Wrong Item
RE00692,ORD14524,Damaged
RE00693,ORD13618,Other
RE00694,ORD39114,Damaged
RE00695,ORD48849,Wrong Item
RE00696,ORD46213,Customer Dissatisfaction
RE00697,ORD43427,Other
RE00698,ORD00919,Damaged
RE00699,ORD09860,Wrong Item
RE00700,ORD16762,Wrong Item
RE00701,ORD22876,Customer Dissatisfaction
RE00702,ORD53273,Wrong Item
RE00703,ORD27632,Wrong Item
RE00704,ORD54425,Other
RE00705,ORD00729,Other
RE00706,ORD29185,Wrong Item
RE00707,ORD02704,Damaged
RE00708,ORD05580,Wrong Item
RE00709,ORD49223,Other
RE00710,ORD12802,Customer Dissatisfaction
RE00711,ORD05636,Customer Dissatisfaction
RE00712,ORD02390,Damaged
RE00713,ORD43067,Damaged
RE00714,ORD52832,Damaged
RE00715,ORD40518,Wrong Item
RE00716,ORD58244,Wrong Item
RE00717,ORD01982,Damaged
RE00718,ORD53443,Customer Dissatisfaction
RE00719,ORD30221,Customer Dissatisfaction
RE00720,ORD31714,Customer Dissatisfaction
RE00721,ORD57682,Other
RE00722,ORD23623,Customer Dissatisfaction
RE00723,ORD53274,Wrong Item
RE00724,ORD35688,Damaged
RE00725,ORD01337,Customer Dissatisfaction
RE00726,ORD11352,Damaged
RE00727,ORD44780,Damaged
RE00728,ORD33265,Other
RE00729,ORD31409,Other
RE00730,ORD55847,Other
RE00731,ORD42777,Wrong Item
RE00732,ORD38635,Customer Dissatisfaction
RE00733,ORD50360,Damaged
RE00734,ORD08610,Damaged
RE00735,ORD54819,Other
RE00736,ORD42007,Wrong Item
RE00737,ORD40266,Customer Dissatisfaction
RE00738,ORD58420,Wrong Item
RE00739,ORD05707,Wrong Item
RE00740,ORD13735,Damaged
RE00741,ORD49552,Wrong Item
RE00742,ORD29279,Other
RE00743,ORD09122,Customer Dissatisfaction
RE00744,ORD45996,Other
RE00745,ORD05263,Other
RE00746,ORD18288,Wrong Item
RE00747,ORD06583,Wrong Item
RE00748,ORD43641,Damaged
RE00749,ORD35099,Other
RE00750,ORD26230,Customer Dissatisfaction
RE00751,ORD22315,Other
RE00752,ORD22451,Other
RE00753,ORD26710,Damaged
RE00754,ORD17156,Other
RE00755,ORD19522,Damaged
RE00756,ORD10458,Wrong Item
RE00757,ORD11309,Wrong Item
RE00758,ORD54552,Wrong Item
RE00759,ORD29720,Other
RE00760,ORD36559,Other
RE00761,ORD52293,Damaged
RE00762,ORD43802,Other
RE00763,ORD24638,Wrong Item
RE00764,ORD17062,Damaged
RE00765,ORD16360,Wrong Item
RE00766,ORD37759,Customer Dissatisfaction
RE00767,ORD59036,Damaged
RE00768,ORD57734,Damaged
RE00769,ORD49773,Wrong Item
RE00770,ORD25425,Wrong Item
RE00771,ORD02509,Wrong Item
RE00772,ORD41436,Customer Dissatisfaction
RE00773,ORD30579,Damaged
RE00774,ORD15966,Wrong Item
RE00775,ORD44354,Customer Dissatisfaction
RE00776,ORD46278,Damaged
RE00777,ORD11325,Wrong Item
RE00778,ORD30397,Customer Dissatisfaction
RE00779,ORD38676,Damaged
RE00780,ORD29103,Other
RE00781,ORD06183,Wrong Item
RE00782,ORD12135,Other
RE00783,ORD57905,Wrong Item
RE00784,ORD39965,Customer Dissatisfaction
RE00785,ORD08562,Wrong Item
RE00786,ORD43991,Damaged
RE00787,ORD38758,Customer Dissatisfaction
RE00788,ORD31666,Damaged
RE00789,ORD05366,Wrong Item
RE00790,ORD14456,Wrong Item
RE00791,ORD41758,Customer Dissatisfaction
RE00792,ORD42940,Customer Dissatisfaction
RE00793,ORD25710,Other
RE00794,ORD19854,Other
RE00795,ORD15077,Wrong Item
